"年別","月份","國家名稱","飛機_松山","飛機_桃園","飛機_臺中","飛機_高雄","飛機_其他","輪船_基隆","輪船_臺中","輪船_高雄","輪船_蘇澳","輪船_花蓮","輪船_金門","輪船_馬祖","輪船_其他","小計"
"Years","Months","Countries","Air. SongShan","Air. Taoyuan","Air. Taichung","Air. Kaohsiung","Air. Others","Sea. Keelung","Sea. Taichung","Sea. Kaohsiung","Sea. Suao","Sea. Hualien","Sea. Kinmem","Sea. Matsu","Sea. Others","Subtotals"
"98","2","摩洛哥(Morocco)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","阿爾及利亞(Algeria)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","突尼西亞(Tunisia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","利比亞(Libya
)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","蘇丹(Sudan)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","索馬利亞(Somalia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","南非(S. Africa)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","象牙海岸(Cote D'ivoire)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","奈及利亞(Nigeria)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","賴比瑞亞(Liberia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","幾內亞(Guinea)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","安哥拉(Angola)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","剛果共和國(Congo)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","中非共和國(Central African)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","波札那(Botswana)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","喀麥隆(Cameroon)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","查德(Chad)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","衣索匹亞(Ethiopia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","加彭(Gabon)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","甘比亞(Gambia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","迦納(Ghana)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
